year	municipality	id08	treated	_ID	_CX	_CY	PRO_COM	SHAPE_LEN	SHAPE_AREA
2008.0	"PAVULLO NEL FRIGNANO"	4942	0.0	1750	647014.6415161287	4911007.281788286	36030	55493.3794229	1.43730445149E8
2008.0	"PAZZANO"	4943	1.0	6919	1148646.9751184941	4284139.742302748	80058	27635.238171	1.55689867659E7
2008.0	"PECCIOLI"	4944	1.0	1223	643449.9223364432	4821674.8076549545	50025	55787.0085574	9.25368350111E7
2008.0	"PECETTO DI VALENZA"	4945	1.0	2063	474227.91479505366	4981539.867031584	6128	22784.400856	1.13546228489E7
2008.0	"PECETTO TORINESE"	4946	1.0	27	401730.55379184044	4985715.977735118	1183	17837.4792413	9173014.424
2008.0	"PECORARA"	4947	1.0	5025	529634.8785832066	4968710.905059846	33031	41386.6470958	5.37648360453E7
2008.0	"PEDACE"	4948	0.0	6467	1143488.1973764952	4373022.848916878	78095	53334.8373877	5.18672778911E7
2008.0	"PEDARA"	4949	0.0	7593	1034190.7007623726	4183037.667691661	87034	27527.2411435	1.92393614994E7
2008.0	"PEDASO"	4950	1.0	5637	893633.7739263793	4782203.001035986	109030	8998.73822205	3846968.96993
2008.0	"PEDAVENA"	4951	0.0	3789	721057.7123982745	5102873.750034675	25036	24832.0124337	2.50552981914E7
2008.0	"PEDEMONTE"	4952	1.0	3672	680745.9575693856	5086819.780119307	24076	27764.5350478	1.25920229111E7
2008.0	"PEDESINA"	4953	1.0	2277	540433.6931594713	5102959.708208911	14047	12730.2788546	6299696.34575
2008.0	"PEDIVIGLIANO"	4954	1.0	6523	1134233.2475081224	4354806.543398826	78096	30558.5738861	1.665463112E7
2008.0	"PEDRENGO"	4955	0.0	2943	557631.4735990359	5060476.829279625	16160	10362.8997642	3599896.73679
2008.0	"PEGLIOCO"	4956	1.0	1655	521361.4001504065	5114248.533165109	13178	18064.4280029	1.05746628936E7
2008.0	"PEGLIOPU"	4957	1.0	4793	781537.0425752399	4844570.261717129	41041	23410.660454	2.13607217533E7
2008.0	"PEGOGNAGA"	4958	0.0	464	646796.7050276579	4984398.383192163	20039	40190.0986039	4.656864923E7
2008.0	"PEIA"	4959	1.0	2968	570774.8639355062	5071764.358213491	16161	11433.0601705	4479878.91185
2008.0	"PEIO"	4960	1.0	3583	627066.6233197717	5136513.897456996	22136	80793.5929758	1.6230238328E8
2008.0	"PELAGO"	4961	0.0	5301	702423.0230923764	4849842.151205836	48032	39748.3328818	5.45602363073E7
2008.0	"PELLA"	4962	1.0	347	452274.4443073685	5073187.920984717	3115	18607.485065	8134482.85508
2008.0	"PELLEGRINO PARMENSE"	4963	1.0	4886	571967.5038706055	4955132.927900663	34028	52687.2195156	8.20785617035E7
2008.0	"PELLEZZANO"	4964	0.0	6983	986480.1239783037	4523494.04319035	65090	19210.113188	1.40374085357E7
2008.0	"PELLIO INTELVI"	4965	1.0	1659	503176.63224898116	5090080.0570172975	13179	17045.5883676	9993470.61181
2008.0	"PELLIZZANO"	4966	1.0	3626	632774.1796787913	5129962.402266584	22137	61709.8521414	4.83606122462E7
2008.0	"PELUGO"	4967	1.0	3636	627511.7282234923	5106862.682119335	22138	32471.1798519	2.29782342512E7
2008.0	"PENANGO"	4968	1.0	1232	441838.1719064246	4986181.1004976	5083	17132.3581097	9563010.90292
2008.0	"PENNA IN TEVERINA"	4969	1.0	4567	776369.1310538949	4709992.033105935	55026	16671.2194682	1.00032589229E7
2008.0	"PENNA SAN GIOVANNI"	4970	1.0	5029	860134.5578012938	4776952.457289502	43035	30359.1894656	2.80835048129E7
2008.0	"PENNA SANT'ANDREA"	4971	1.0	5977	891110.9203709475	4725801.325020494	67033	21172.2583697	1.10981886676E7
2008.0	"PENNABILLI"	4972	0.0	5343	763294.1556778433	4855629.995060903	99024	52329.8084835	6.98034118444E7
2008.0	"PENNADOMO"	4973	1.0	6508	940690.4613933156	4663991.389561815	69063	21453.6078344	1.10200063035E7
2008.0	"PENNAPIEDIMONTE"	4974	1.0	6514	926973.5088470131	4678611.549949544	69064	35757.7473085	4.70312149076E7
2008.0	"PENNE"	4975	0.0	5969	903413.576855257	4713375.954747684	68027	64647.466423	9.11942766689E7
2008.0	"PENTONE"	4976	1.0	6611	1157279.961141957	4341872.441483035	79092	17391.2824265	1.23828333214E7
2008.0	"PERANO"	4977	1.0	5615	946094.541269068	4675840.487003593	69065	12262.5699203	6482590.14118
2008.0	"PERAROLO DI CADORE"	4978	1.0	3797	759381.0167776331	5139847.22433909	25037	34817.8085309	4.39431065161E7
2008.0	"PERCA"	4979	1.0	3282	730662.239689807	5190125.904881368	21063	32483.2980257	3.03639888427E7
2008.0	"PERCILE"	4980	1.0	5810	825057.8601455963	4666962.3344434835	58076	20248.7929111	1.77576894554E7
2008.0	"PERDASDEFOGU"	4981	1.0	7960	538928.5662716596	4391005.201479045	105014	42485.6643315	7.77449118125E7
2008.0	"PERDAXIUS"	4982	1.0	7867	466992.94980681734	4334546.758136411	107014	22469.8205034	2.94952781115E7
2008.0	"PERDIFUMO"	4983	1.0	6857	1010770.840354708	4475995.955765256	65091	23559.9269502	2.38137629062E7
2008.0	"PEREGO"	4984	1.0	2982	527854.462471275	5064326.769672863	97066	13156.6451302	4214257.56693
2008.0	"PERETO"	4985	1.0	5891	841671.7528399972	4663831.5107004475	66067	28623.714979	4.11546754253E7
2008.0	"PERFUGAS"	4986	1.0	7774	494135.4769226352	4520151.118162006	90056	44036.6323539	6.08802670395E7
2008.0	"PERGINE VALDARNO"	4987	0.0	5515	716596.1062471046	4815798.207207504	51028	34196.4147695	4.64980401781E7
2008.0	"PERGINE VALSUGANA"	4988	0.0	3557	672980.5112275716	5102972.774952008	22139	54153.551854	5.43284463481E7
2008.0	"PERGOLA"	4989	0.0	4821	809713.6148972277	4831213.580680579	41043	73707.7152152	1.1239535455E8
2008.0	"PERINALDO"	4990	1.0	4609	394128.11184172955	4856834.933674926	8040	20500.3974657	2.02993566532E7
2008.0	"PERITO"	4991	1.0	6858	1022170.0489540808	4479406.318174906	65092	23532.0860658	2.39993954987E7
2008.0	"PERLEDO"	4992	1.0	2983	522958.41073509905	5096244.361374674	97067	18725.4891102	1.36836856954E7
2008.0	"PERLETTO"	4993	1.0	530	437779.5645566731	4938507.276904652	4161	17992.6250051	9893169.48197
2008.0	"PERLO"	4994	1.0	709	427625.19504143123	4908326.680920187	4162	13953.0660549	1.02155269255E7
2008.0	"PERLOZ"	4995	1.0	2180	407355.36454194743	5053480.644784382	7048	25716.2805766	2.32664964586E7
2008.0	"PERNUMIA"	4996	1.0	3988	719615.4927972476	5015978.681821796	28061	22279.2120434	1.31797396439E7
2008.0	"PERO"	4997	0.0	2618	506028.5625467983	5039670.850019105	15170	12930.2231754	4978210.78162
2008.0	"PEROSA ARGENTINA"	4998	1.0	13	357143.68335053365	4982559.529908111	1184	25145.5193033	2.60905910261E7
2008.0	"PEROSA CANAVESE"	4999	1.0	14	408813.1587233076	5028822.2371457415	1185	12034.2945067	4708038.38622
2008.0	"PERRERO"	5000	1.0	15	351801.3949960835	4976180.968111796	1186	39611.7695488	6.31829862E7
2008.0	"PERSICO D'OSIMO"	5001	1.0	560	585105.7586128127	5003897.142639468	19068	32919.3785645	2.0607583553E7
2008.0	"PERTENGO"	5002	1.0	204	454081.2799802182	5009026.388043355	2091	14671.2080701	8294863.624
2008.0	"PERTICA ALTA"	5003	1.0	3231	604413.4291920296	5066207.757439931	17139	29370.0547021	2.09152320177E7
2008.0	"PERTICA BASSA"	5004	1.0	3092	607114.2126274676	5068346.510393433	17140	26599.3480448	3.0125838025E7
2008.0	"PERTOSA"	5005	1.0	6859	1046553.117842752	4508459.334713599	65093	13506.2540781	6158453.39661
2008.0	"PERTUSIO"	5006	1.0	16	393386.4108871194	5022861.718934664	1187	11368.8928329	4004121.36656
2008.0	"PERUGIA"	5007	0.0	2009	776111.1104136966	4781563.952685587	54039	176886.899261	4.4950115741E8
2008.0	"PESARO"	5008	0.0	4557	810355.5953309665	4866525.669325521	41044	81292.9760501	1.26768481984E8
2008.0	"PESCAGLIA"	5009	0.0	5117	613999.2953254813	4868644.943582373	46022	50451.0337063	7.05479230508E7
2008.0	"PESCANTINA"	5010	0.0	4140	645433.701415861	5039136.693881676	23058	25599.1160098	1.97258803136E7
2008.0	"PESCARA"	5011	0.0	6006	927887.5578755876	4713542.592653006	68028	41549.4588263	3.43332234641E7
2008.0	"PESCAROLO ED UNITI"	5012	1.0	561	594142.0713103969	5005141.786971379	19069	24642.18523	1.65434121548E7
2008.0	"PESCASSEROLI"	5013	1.0	5908	898025.1356458804	4639739.875145519	66068	50199.0711414	9.11585101082E7
2008.0	"PESCATE"	5014	1.0	3896	530743.8830807885	5075258.7406645	97068	7620.37185634	2100117.29157
2008.0	"PESCHE"	5015	1.0	5283	940470.6220018725	4620424.158870663	94031	16309.1875747	1.29625367383E7
2008.0	"PESCHICI"	5016	0.0	6777	1083284.4060859506	4663975.991473719	71038	42614.687595	4.93894603692E7
2008.0	"PESCHIERA BORROMEO"	5017	0.0	2628	523679.4516290226	5032145.708737438	15171	28697.7264427	2.32211721413E7
2008.0	"PESCHIERA DEL GARDA"	5018	0.0	4141	630916.7196211909	5033019.366993363	23059	29456.5847702	1.82605591293E7
2008.0	"PESCIA"	5019	0.0	5316	636308.5173575921	4866679.678657449	47012	61495.0657753	7.91246344028E7
2008.0	"PESCINA"	5020	0.0	5918	884736.8806293136	4661375.249688682	66069	49816.8999355	4.87942512383E7
2008.0	"PESCO SANNITA"	5021	1.0	1476	988120.0222045582	4581996.405784027	62050	27777.9742235	2.41537315384E7
2008.0	"PESCOCOSTANZO"	5022	1.0	5919	919364.140401415	4653104.7077800045	66070	36078.3954195	5.50623362683E7
2008.0	"PESCOLANCIANO"	5023	1.0	5525	944576.7066310908	4629385.025806446	94032	44157.9808731	3.47337155418E7
2008.0	"PESCOPAGANO"	5024	1.0	7225	1040782.5000279674	4541153.773430067	76058	48457.2282756	6.98341704164E7
2008.0	"PESCOPENNATARO"	5025	1.0	5526	940771.7144985689	4649303.907681065	94033	22105.6012223	1.8831956666E7
2008.0	"PESCOROCCHIANO"	5026	1.0	2061	841889.6800295064	4681867.634513494	57049	61222.9450963	9.47726926686E7
2008.0	"PESCOSANSONESCO"	5027	1.0	5975	901923.2180283461	4688643.837901571	68029	19375.0152808	1.83463531152E7
2008.0	"PESCOSOLIDO"	5028	1.0	6337	887327.0182757495	4634756.3320021415	60049	29443.9903462	4.4888864576E7
2008.0	"PESSANO CON BORNAGO"	5029	0.0	2629	530370.4114351305	5044223.440867523	15172	16182.1434426	6662373.60124
2008.0	"PESSINA CREMONESE"	5030	1.0	607	599103.1417207076	5003915.85619677	19070	31173.7557474	2.2016640695E7
2008.0	"PESSINETTO"	5031	1.0	22	376639.54388634895	5016041.297518955	1188	13264.6861016	5349841.50923
2008.0	"PETACCIATO"	5032	1.0	6543	984279.9889656099	4667663.8008543365	70051	29717.5957954	3.54006089302E7
2008.0	"PETILIA POLICASTRO"	5033	0.0	1825	1172987.080230845	4358320.573377224	101017	72633.3697175	9.8348094914E7
2008.0	"PETINA"	5034	1.0	6940	1040592.0411093408	4506082.268726954	65094	30708.5398411	3.54696632418E7
2008.0	"PETRALIA SOPRANA"	5035	1.0	7375	951563.1301829183	4194239.4946742156	82055	47795.8196986	5.61024836693E7
2008.0	"PETRALIA SOTTANA"	5036	1.0	7376	942441.7155935582	4186753.5293247323	82056	134223.280675	1.78344013815E8
