NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
5;;;;;;;VIGNOLA;11.740;12.604;24.344
0;2080506030;EMILIA-ROMAGNA;MODENA;UNIONE COMUNI MODENESI AREA NORD;1-Gen-2004;9;;41.644;44.174;85.818
1;;;;;;;CAMPOSANTO;1.599;1.572;3.171
2;;;;;;;CAVEZZO;3.489;3.707;7.196
3;;;;;;;CONCORDIA SULLA SECCHIA;4.383;4.585;8.968
4;;;;;;;FINALE EMILIA;7.586;8.127;15.713
5;;;;;;;MEDOLLA;3.070;3.252;6.322
6;;;;;;;MIRANDOLA;11.476;12.484;23.960
7;;;;;;;SAN FELICE SUL PANARO;5.354;5.672;11.026
8;;;;;;;SAN POSSIDONIO;1.732;1.889;3.621
9;;;;;;;SAN PROSPERO;2.955;2.886;5.841
0;2080506060;EMILIA-ROMAGNA;MODENA;UNIONE DEI COMUNI DEL DISTRETTO CERAMICO;1-Gen-2011;5;;54.398;56.494;110.892
1;;;;;;;FIORANO MODENESE;8.414;8.531;16.945
2;;;;;;;FORMIGINE;16.648;17.019;33.667
3;;;;;;;MARANELLO;8.184;8.438;16.622
4;;;;;;;PRIGNANO SULLA SECCHIA;1.892;1.881;3.773
5;;;;;;;SASSUOLO;19.260;20.625;39.885
0;2080506070;EMILIA-ROMAGNA;MODENA;UNIONE DEI COMUNI DEL FRIGNANO;1-Gen-2014;10;;20.120;20.612;40.732
1;;;;;;;FANANO;1.466;1.562;3.028
2;;;;;;;FIUMALBO;643;661;1.304
3;;;;;;;LAMA MOCOGNO;1.403;1.441;2.844
4;;;;;;;MONTECRETO;510;490;1.000
5;;;;;;;PAVULLO NEL FRIGNANO;8.401;8.797;17.198
6;;;;;;;PIEVEPELAGO;1.107;1.134;2.241
7;;;;;;;POLINAGO;884;858;1.742
8;;;;;;;RIOLUNATO;390;369;759
9;;;;;;;SERRAMAZZONI;4.043;3.971;8.014
10;;;;;;;SESTOLA;1.273;1.329;2.602
0;2080506040;EMILIA-ROMAGNA;MODENA;UNIONE DELLE TERRE D'ARGINE;1-Gen-2006;4;;49.140;52.675;101.815
1;;;;;;;CAMPOGALLIANO;4.189;4.325;8.514
2;;;;;;;CARPI;32.099;35.169;67.268
3;;;;;;;NOVI DI MODENA;5.457;5.515;10.972
4;;;;;;;SOLIERA;7.395;7.666;15.061
0;2080566060;EMILIA-ROMAGNA;PARMA;UNIONE MONTANA APPENNINI PARMA EST;1-Gen-2014;5;;10.664;10.848;21.512
1;;;;;;;LANGHIRANO;4.837;4.947;9.784
2;;;;;;;LESIGNANO DE' BAGNI;2.367;2.392;4.759
3;;;;;;;NEVIANO DEGLI ARDUINI;1.829;1.862;3.691
4;;;;;;;PALANZANO;575;590;1.165
5;;;;;;;TIZZANO VAL PARMA;1.056;1.057;2.113
0;2080566040;EMILIA-ROMAGNA;PARMA;UNIONE PEDEMONTANA PARMENSE;1-Gen-2009;5;;23.422;24.241;47.663
1;;;;;;;COLLECCHIO;6.761;7.132;13.893
2;;;;;;;FELINO;4.221;4.400;8.621
3;;;;;;;MONTECHIARUGOLO;5.204;5.278;10.482
4;;;;;;;SALA BAGANZA;2.700;2.692;5.392
5;;;;;;;TRAVERSETOLO;4.536;4.739;9.275
0;2080566030;EMILIA-ROMAGNA;PARMA;UNIONE TERRE VERDIANE;1-Gen-2006;8;;37.948;39.972;77.920
1;;;;;;;BUSSETO;3.517;3.526;7.043
2;;;;;;;FIDENZA;12.165;13.356;25.521
3;;;;;;;FONTANELLATO;3.469;3.494;6.963
4;;;;;;;FONTEVIVO;2.682;2.746;5.428
5;;;;;;;ROCCABIANCA;1.510;1.559;3.069
6;;;;;;;SALSOMAGGIORE TERME;9.433;10.072;19.505
7;;;;;;;SAN SECONDO PARMENSE;2.717;2.802;5.519
8;;;;;;;SORAGNA;2.455;2.417;4.872
0;2080566070;EMILIA-ROMAGNA;PARMA;VALLI DEL TARO E CENO;1-Gen-2014;8;;8.160;8.369;16.529
1;;;;;;;BORE;407;392;799
2;;;;;;;BORGO VAL DI TARO;3.527;3.748;7.275
3;;;;;;;COMPIANO;556;566;1.122
4;;;;;;;PELLEGRINO PARMENSE;536;530;1.066
5;;;;;;;TERENZO;635;560;1.195
6;;;;;;;TORNOLO;552;550;1.102
7;;;;;;;VARANO DE' MELEGARI;1.318;1.371;2.689
8;;;;;;;VARSI;629;652;1.281
0;2080616050;EMILIA-ROMAGNA;PIACENZA;BASSA VAL D'ARDA FIUME PO;1-Gen-2014;7;;11.839;12.297;24.136
1;;;;;;;BESENZONE;500;476;976
2;;;;;;;CAORSO;2.387;2.443;4.830
3;;;;;;;CASTELVETRO PIACENTINO;2.691;2.893;5.584
4;;;;;;;CORTEMAGGIORE;2.208;2.248;4.456
5;;;;;;;MONTICELLI D'ONGINA;2.633;2.795;5.428
6;;;;;;;SAN PIETRO IN CERRO;470;456;926
7;;;;;;;VILLANOVA SULL'ARDA;950;986;1.936
0;2080616040;EMILIA-ROMAGNA;PIACENZA;DELLA VIA EMILIA PIACENTINA;1-Gen-2014;4;;15.639;16.495;32.134
1;;;;;;;ALSENO;2.372;2.451;4.823
2;;;;;;;CADEO;2.984;3.068;6.052
3;;;;;;;FIORENZUOLA D'ARDA;7.164;7.722;14.886
4;;;;;;;PONTENURE;3.119;3.254;6.373
0;2080616070;EMILIA-ROMAGNA;PIACENZA;UNIONE COMUNI MONTANI ALTA VAL D'ARDA;21-Feb-2015;4;;5.981;6.232;12.213
1;;;;;;;CASTELL'ARQUATO;2.304;2.408;4.712
2;;;;;;;LUGAGNANO VAL D'ARDA;2.026;2.129;4.155
3;;;;;;;MORFASSO;550;555;1.105
4;;;;;;;VERNASCA;1.101;1.140;2.241
0;2080616010;EMILIA-ROMAGNA;PIACENZA;UNIONE DEI COMUNI BASSA VAL TREBBIA E VAL LURETTA;1-Gen-2006;8;;18.586;19.161;37.747
1;;;;;;;AGAZZANO;1.013;1.057;2.070
2;;;;;;;CALENDASCO;1.246;1.202;2.448
3;;;;;;;GAZZOLA;1.024;975;1.999
4;;;;;;;GOSSOLENGO;2.684;2.747;5.431
5;;;;;;;GRAGNANO TREBBIENSE;2.134;2.252;4.386
6;;;;;;;RIVERGARO;3.346;3.507;6.853
7;;;;;;;ROTTOFRENO;5.698;5.943;11.641
8;;;;;;;SARMATO;1.441;1.478;2.919
0;2080616080;EMILIA-ROMAGNA;PIACENZA;UNIONE MONTANA ALTA VAL NURE;24-Mar-2014;4;;5.341;5.474;10.815
1;;;;;;;BETTOLA;1.496;1.503;2.999
2;;;;;;;FARINI;713;742;1.455
3;;;;;;;FERRIERE;736;689;1.425
4;;;;;;;PONTE DELL'OLIO;2.396;2.540;4.936
0;2080616060;EMILIA-ROMAGNA;PIACENZA;UNIONE MONTANA VALLI TREBBIA E LURETTA;29-Set-2014;8;;4.334;4.455;8.789
1;;;;;;;BOBBIO;1.767;1.944;3.711
2;;;;;;;CERIGNALE;91;64;155
3;;;;;;;COLI;484;471;955
4;;;;;;;CORTE BRUGNATELLA;316;355;671
5;;;;;;;OTTONE;296;274;570
6;;;;;;;PIOZZANO;348;294;642
7;;;;;;;TRAVO;981;1.012;1.993
8;;;;;;;ZERBA;51;41;92
0;2080616020;EMILIA-ROMAGNA;PIACENZA;UNIONE VALNURE E VALCHERO;1-Gen-2008;4;;13.159;13.454;26.613
1;;;;;;;CARPANETO PIACENTINO;3.761;3.776;7.537
2;;;;;;;PODENZANO;4.452;4.538;8.990
3;;;;;;;SAN GIORGIO PIACENTINO;2.871;2.947;5.818
4;;;;;;;VIGOLZONE;2.075;2.193;4.268
0;2080666010;EMILIA-ROMAGNA;RAVENNA;UNIONE DEI COMUNI DELLA BASSA ROMAGNA;1-Gen-2008;9;;49.225;52.896;102.121
1;;;;;;;ALFONSINE;5.850;6.395;12.245
2;;;;;;;BAGNACAVALLO;8.060;8.655;16.715
3;;;;;;;BAGNARA DI ROMAGNA;1.177;1.171;2.348
4;;;;;;;CONSELICE;4.793;5.044;9.837
5;;;;;;;COTIGNOLA;3.547;3.837;7.384
6;;;;;;;FUSIGNANO;4.049;4.210;8.259
7;;;;;;;LUGO;15.247;16.815;32.062
8;;;;;;;MASSA LOMBARDA;5.102;5.347;10.449
9;;;;;;;SANT'AGATA SUL SANTERNO;1.400;1.422;2.822
0;2080666020;EMILIA-ROMAGNA;RAVENNA;UNIONE ROMAGNA FAENTINA;1-Gen-2009;6;;42.753;45.168;87.921
1;;;;;;;BRISIGHELLA;3.797;3.867;7.664
2;;;;;;;CASOLA VALSENIO;1.381;1.343;2.724
3;;;;;;;CASTEL BOLOGNESE;4.633;4.886;9.519
4;;;;;;;FAENZA;27.913;29.835;57.748
5;;;;;;;RIOLO TERME;2.836;2.941;5.777
6;;;;;;;SOLAROLO;2.193;2.296;4.489
0;2080686050;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;PIANURA REGGIANA;1-Gen-2008;6;;27.075;27.842;54.917
1;;;;;;;CAMPAGNOLA EMILIA;2.747;2.746;5.493
2;;;;;;;CORREGGIO;12.060;12.765;24.825
3;;;;;;;FABBRICO;3.313;3.383;6.696
4;;;;;;;RIO SALICETO;3.065;3.027;6.092
5;;;;;;;ROLO;2.027;2.011;4.038
6;;;;;;;SAN MARTINO IN RIO;3.863;3.910;7.773
0;2080686060;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;UNIONE COLLINE MATILDICHE;1-Gen-2009;3;;12.669;13.209;25.878
1;;;;;;;ALBINEA;4.316;4.439;8.755
2;;;;;;;QUATTRO CASTELLA;6.305;6.604;12.909
3;;;;;;;VEZZANO SUL CROSTOLO;2.048;2.166;4.214
0;2080686020;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;UNIONE DEI COMUNI BASSA REGGIANA;1-Gen-2009;8;;35.030;36.090;71.120
1;;;;;;;BORETTO;2.599;2.664;5.263
2;;;;;;;BRESCELLO;2.764;2.782;5.546
3;;;;;;;GUALTIERI;3.274;3.365;6.639
4;;;;;;;GUASTALLA;7.144;7.642;14.786
5;;;;;;;LUZZARA;4.616;4.553;9.169
6;;;;;;;NOVELLARA;6.580;6.875;13.455
7;;;;;;;POVIGLIO;3.462;3.583;7.045
8;;;;;;;REGGIOLO;4.591;4.626;9.217
0;2080686080;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO;17-Gen-2014;6;;14.578;14.929;29.507
1;;;;;;;CARPINETI;2.040;2.138;4.178
2;;;;;;;CASINA;2.255;2.279;4.534
3;;;;;;;CASTELNOVO NE' MONTI;5.079;5.402;10.481
4;;;;;;;TOANO;2.290;2.168;4.458
5;;;;;;;VETTO;980;976;1.956
6;;;;;;;VILLA MINOZZO;1.934;1.966;3.900
0;2080686070;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;UNIONE TERRA DI MEZZO;1-Gen-2010;3;;13.922;14.467;28.389
1;;;;;;;BAGNOLO IN PIANO;4.577;4.809;9.386
2;;;;;;;CADELBOSCO DI SOPRA;5.126;5.283;10.409
3;;;;;;;CASTELNOVO DI SOTTO;4.219;4.375;8.594
0;2080686040;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;UNIONE VAL D'ENZA;1-Gen-2009;8;;30.077;31.473;61.550
1;;;;;;;BIBBIANO;4.917;5.048;9.965
2;;;;;;;CAMPEGINE;2.524;2.590;5.114
3;;;;;;;CANOSSA;1.901;1.884;3.785
4;;;;;;;CAVRIAGO;4.679;5.019;9.698
5;;;;;;;GATTATICO;2.945;2.954;5.899
6;;;;;;;MONTECCHIO EMILIA;4.907;5.294;10.201
7;;;;;;;SAN POLO D'ENZA;2.883;3.066;5.949
8;;;;;;;SANT'ILARIO D'ENZA;5.321;5.618;10.939
0;2080686030;EMILIA-ROMAGNA;REGGIO NELL' EMILIA;UNIONI DI COMUNI TRESINARO SECCHIA;1-Gen-2008;6;;39.252;40.214;79.466
1;;;;;;;BAISO;1.739;1.664;3.403
2;;;;;;;CASALGRANDE;9.301;9.334;18.635
3;;;;;;;CASTELLARANO;7.395;7.443;14.838
4;;;;;;;RUBIERA;7.062;7.359;14.421
5;;;;;;;SCANDIANO;12.063;12.729;24.792
6;;;;;;;VIANO;1.692;1.685;3.377
0;2081016010;EMILIA-ROMAGNA;RIMINI;UNIONE DEI COMUNI DELLA VALCONCA;1-Gen-1996;7;;10.345;10.626;20.971
1;;;;;;;GEMMANO;571;581;1.152
2;;;;;;;MONDAINO;702;739;1.441
3;;;;;;;MONTEFIORE CONCA;1.084;1.111;2.195
4;;;;;;;MONTEGRIDOLFO;508;521;1.029
5;;;;;;;MORCIANO DI ROMAGNA;3.349;3.543;6.892
6;;;;;;;SALUDECIO;1.519;1.509;3.028
7;;;;;;;SAN CLEMENTE;2.612;2.622;5.234
0;2081016030;EMILIA-ROMAGNA;RIMINI;UNIONE DI COMUNI VALMARECCHIA;1-Gen-2009;2;;15.133;15.666;30.799
1;;;;;;;SANTARCANGELO DI ROMAGNA;10.115;10.724;20.839
2;;;;;;;VERUCCHIO;5.018;4.942;9.960
0;2060356020;FRIULI-VENEZIA GIULIA;GORIZIA;UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO;12-Dic-2014;9;;33.928;35.519;69.447
1;;;;;;;DOBERDO' DEL LAGO;713;728;1.441
2;;;;;;;GRADO;4.066;4.396;8.462
3;;;;;;;MONFALCONE;13.264;13.777;27.041
4;;;;;;;RONCHI DEI LEGIONARI;5.767;6.193;11.960
5;;;;;;;SAGRADO;1.091;1.145;2.236
6;;;;;;;SAN CANZIAN D'ISONZO;3.109;3.200;6.309
7;;;;;;;SAN PIER D'ISONZO;1.014;1.005;2.019
8;;;;;;;STARANZANO;3.534;3.665;7.199
9;;;;;;;TURRIACO;1.370;1.410;2.780
0;2060356030;FRIULI-VENEZIA GIULIA;GORIZIA;UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO;20-Feb-2017;12;;30.957;33.772;64.729
1;;;;;;;CAPRIVA DEL FRIULI;835;896;1.731
2;;;;;;;CORMONS;3.559;3.984;7.543
3;;;;;;;FARRA D'ISONZO;869;883;1.752
4;;;;;;;GORIZIA;16.743;18.469;35.212
5;;;;;;;GRADISCA D'ISONZO;3.105;3.423;6.528
6;;;;;;;MARIANO DEL FRIULI;786;814;1.600
7;;;;;;;MEDEA;475;495;970
8;;;;;;;MORARO;365;402;767
9;;;;;;;MOSSA;796;863;1.659
10;;;;;;;ROMANS D'ISONZO;1.790;1.912;3.702
11;;;;;;;SAN LORENZO ISONTINO;770;778;1.548
12;;;;;;;VILLESSE;864;853;1.717
0;2060936070;FRIULI-VENEZIA GIULIA;PORDENONE;UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO;15-Apr-2016;7;;15.079;15.286;30.365
1;;;;;;;CASARSA DELLA DELIZIA;4.189;4.251;8.440
2;;;;;;;CORDOVADO;1.356;1.392;2.748
3;;;;;;;MORSANO AL TAGLIAMENTO;1.382;1.483;2.865
4;;;;;;;SAN GIORGIO DELLA RICHINVELDA;2.313;2.217;4.530
5;;;;;;;SAN MARTINO AL TAGLIAMENTO;742;754;1.496
6;;;;;;;SESTO AL REGHENA;3.162;3.157;6.319
7;;;;;;;VALVASONE ARZENE;1.935;2.032;3.967
0;2060936090;FRIULI-VENEZIA GIULIA;PORDENONE;UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO;21-Ott-2016;5;;44.130;47.439;91.569
1;;;;;;;FONTANAFREDDA;5.732;5.805;11.537
2;;;;;;;PORCIA;7.452;7.799;15.251
3;;;;;;;PORDENONE;23.897;26.686;50.583
4;;;;;;;ROVEREDO IN PIANO;2.808;2.971;5.779
5;;;;;;;ZOPPOLA;4.241;4.178;8.419
0;2060936050;FRIULI-VENEZIA GIULIA;PORDENONE;UNIONE TERRITORIALE INTERCOMUNALE DELLE VALLI E DELLE DOLOMITI FRIULANE;1-Lug-2016;8;;9.292;9.565;18.857
1;;;;;;;CASTELNOVO DEL FRIULI;462;451;913
2;;;;;;;FRISANCO;322;323;645
3;;;;;;;MANIAGO;5.810;6.008;11.818
4;;;;;;;MEDUNO;831;843;1.674
5;;;;;;;SEQUALS;1.080;1.141;2.221
6;;;;;;;TRAMONTI DI SOPRA;172;186;358
7;;;;;;;TRAMONTI DI SOTTO;208;202;410
8;;;;;;;VITO D'ASIO;407;411;818
0;2060936080;FRIULI-VENEZIA GIULIA;PORDENONE;UNIONE TERRITORIALE INTERCOMUNALE LIVENZA CANSIGLIO CAVALLO;12-Dic-2014;3;;8.826;9.255;18.081
1;;;;;;;AVIANO;4.403;4.622;9.025
2;;;;;;;BUDOIA;1.255;1.297;2.552
3;;;;;;;CANEVA;3.168;3.336;6.504
0;2060936060;FRIULI-VENEZIA GIULIA;PORDENONE;UNIONE TERRITORIALE SILE E MEDUNA;1-Lug-2016;4;;17.620;18.079;35.699
1;;;;;;;AZZANO DECIMO;7.652;7.902;15.554
2;;;;;;;CHIONS;2.567;2.621;5.188
3;;;;;;;FIUME VENETO;5.660;5.826;11.486
4;;;;;;;PRAVISDOMINI;1.741;1.730;3.471
0;2060926010;FRIULI-VENEZIA GIULIA;TRIESTE;UNIONE TERRITORIALE INTERCOMUNALE GIULIANA;24-Ago-2017;6;;109.555;123.046;232.601
1;;;;;;;DUINO AURISINA;4.103;4.483;8.586
2;;;;;;;MONRUPINO;433;448;881
3;;;;;;;MUGGIA;6.298;6.724;13.022
4;;;;;;;SAN DORLIGO DELLA VALLE-DOLINA;2.902;3.010;5.912
5;;;;;;;SGONICO;1.016;1.061;2.077
6;;;;;;;TRIESTE;94.803;107.320;202.123
0;2060856320;FRIULI-VENEZIA GIULIA;UDINE;U.T.I. RIVIERA BASSA FRIULANA - RIVIERE BASSE FURLANE;15-Apr-2016;11;;22.870;24.090;46.960
1;;;;;;;CARLINO;1.361;1.429;2.790
2;;;;;;;LATISANA;6.549;7.098;13.647
3;;;;;;;LIGNANO SABBIADORO;3.140;3.307;6.447
4;;;;;;;MARANO LAGUNARE;986;977;1.963
5;;;;;;;MUZZANA DEL TURGNANO;1.280;1.361;2.641
6;;;;;;;PALAZZOLO DELLO STELLA;1.469;1.539;3.008
7;;;;;;;POCENIA;1.294;1.301;2.595
8;;;;;;;PORPETTO;1.314;1.336;2.650
9;;;;;;;PRECENICCO;708;776;1.484
10;;;;;;;RONCHIS;995;1.059;2.054
11;;;;;;;SAN GIORGIO DI NOGARO;3.774;3.907;7.681
0;2060856170;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE AGRO AQUILEIESE;1-Lug-2016;11;;19.822;20.883;40.705
1;;;;;;;AIELLO DEL FRIULI;1.103;1.169;2.272
2;;;;;;;AQUILEIA;1.673;1.768;3.441
3;;;;;;;BAGNARIA ARSA;1.731;1.846;3.577
4;;;;;;;BICINICCO;947;975;1.922
5;;;;;;;CAMPOLONGO TAPOGLIANO;597;613;1.210
6;;;;;;;CERVIGNANO DEL FRIULI;6.496;6.913;13.409
7;;;;;;;CHIOPRIS-VISCONE;304;316;620
8;;;;;;;PALMANOVA;2.612;2.797;5.409
9;;;;;;;RUDA;1.474;1.521;2.995
10;;;;;;;TERZO D'AQUILEIA;1.406;1.475;2.881
11;;;;;;;TORVISCOSA;1.479;1.490;2.969
0;2060856190;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE COLLINARE;1-Lug-2016;7;;10.878;11.507;22.385
1;;;;;;;COSEANO;1.097;1.150;2.247
2;;;;;;;FAGAGNA;3.053;3.226;6.279
3;;;;;;;FLAIBANO;587;610;1.197
4;;;;;;;MAJANO;2.930;3.121;6.051
5;;;;;;;MORUZZO;1.166;1.225;2.391
6;;;;;;;RIVE D'ARCANO;1.213;1.266;2.479
7;;;;;;;TREPPO GRANDE;832;909;1.741
0;2060856140;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE DEL CANALE DEL FERRO-VAL CANALE;15-Apr-2016;4;;1.457;1.522;2.979
1;;;;;;;DOGNA;101;91;192
2;;;;;;;MALBORGHETTO VALBRUNA;481;488;969
3;;;;;;;PONTEBBA;724;779;1.503
4;;;;;;;RESIUTTA;151;164;315
0;2060856300;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE DEL FRIULI CENTRALE;15-Apr-2016;6;;64.668;73.585;138.253
1;;;;;;;CAMPOFORMIDO;3.720;3.959;7.679
2;;;;;;;POZZUOLO DEL FRIULI;3.344;3.536;6.880
3;;;;;;;PRADAMANO;1.686;1.850;3.536
4;;;;;;;TAVAGNACCO;6.785;7.477;14.262
5;;;;;;;TRICESIMO;3.628;3.981;7.609
6;;;;;;;UDINE;45.505;52.782;98.287
0;2060856160;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE DEL GEMONESE;20-Apr-2016;3;;3.675;3.730;7.405
1;;;;;;;ARTEGNA;1.407;1.470;2.877
2;;;;;;;TRASAGHIS;1.149;1.149;2.298
3;;;;;;;VENZONE;1.119;1.111;2.230
0;2060856180;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE DEL NATISONE;15-Apr-2016;15;;22.832;23.798;46.630
1;;;;;;;BUTTRIO;1.990;2.049;4.039
2;;;;;;;CIVIDALE DEL FRIULI;5.392;5.986;11.378
3;;;;;;;DRENCHIA;59;75;134
4;;;;;;;GRIMACCO;180;194;374
5;;;;;;;MANZANO;3.167;3.414;6.581
6;;;;;;;MOIMACCO;822;826;1.648
7;;;;;;;PREMARIACCO;2.086;2.101;4.187
8;;;;;;;PREPOTTO;418;391;809
9;;;;;;;PULFERO;516;517;1.033
10;;;;;;;REMANZACCO;2.994;3.072;6.066
11;;;;;;;SAN GIOVANNI AL NATISONE;3.066;3.051;6.117
12;;;;;;;SAN LEONARDO;595;566;1.161
13;;;;;;;SAN PIETRO AL NATISONE;1.085;1.138;2.223
14;;;;;;;SAVOGNA;254;228;482
15;;;;;;;STREGNA;208;190;398
0;2060856310;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE DEL TORRE;16-Ago-2016;8;;12.899;13.711;26.610
1;;;;;;;ATTIMIS;903;958;1.861
2;;;;;;;CASSACCO;1.415;1.496;2.911
3;;;;;;;FAEDIS;1.482;1.532;3.014
4;;;;;;;LUSEVERA;346;354;700
5;;;;;;;NIMIS;1.369;1.409;2.778
6;;;;;;;POVOLETTO;2.718;2.854;5.572
7;;;;;;;TAIPANA;355;324;679
8;;;;;;;TARCENTO;4.311;4.784;9.095
0;2060856150;FRIULI-VENEZIA GIULIA;UDINE;UNIONE TERRITORIALE INTERCOMUNALE DELLA CARNIA;1-Gen-2016;22;;16.911;17.907;34.818
1;;;;;;;AMARO;386;455;841
2;;;;;;;ARTA TERME;1.107;1.136;2.243
3;;;;;;;CAVAZZO CARNICO;512;575;1.087
4;;;;;;;COMEGLIANS;282;250;532
5;;;;;;;ENEMONZO;658;693;1.351
6;;;;;;;FORNI AVOLTRI;322;320;642
7;;;;;;;FORNI DI SOPRA;509;518;1.027
8;;;;;;;LAUCO;397;387;784
9;;;;;;;OVARO;994;1.016;2.010
10;;;;;;;PALUZZA;1.141;1.231;2.372
11;;;;;;;PAULARO;1.324;1.413;2.737
12;;;;;;;PRATO CARNICO;465;462;927
13;;;;;;;PREONE;127;139;266
14;;;;;;;RAVASCLETTO;281;279;560
15;;;;;;;RAVEO;239;269;508
16;;;;;;;RIGOLATO;255;247;502
17;;;;;;;SAURIS;198;221;419
18;;;;;;;SOCCHIEVE;449;492;941
19;;;;;;;SUTRIO;677;694;1.371
20;;;;;;;TOLMEZZO;5.101;5.469;10.570
21;;;;;;;VERZEGNIS;449;457;906
22;;;;;;;VILLA SANTINA;1.038;1.184;2.222
0;2060856200;FRIULI-VENEZIA GIULIA;UDINE;UTI MEDIO FRIULI;15-Apr-2017;5;;8.640;8.766;17.406
1;;;;;;;BASILIANO;2.639;2.714;5.353
2;;;;;;;BERTIOLO;1.251;1.326;2.577
3;;;;;;;MERETO DI TOMBA;1.351;1.358;2.709
4;;;;;;;SEDEGLIANO;1.974;1.963;3.937
5;;;;;;;VARMO;1.425;1.405;2.830
0;3120336060;LAZIO;FROSINONE;ANTICA TERRA DI LAVORO;1-Gen-2002;3;;2.384;2.564;4.948
1;;;;;;;FALVATERRA;279;288;567
2;;;;;;;ROCCA D'ARCE;472;499;971
3;;;;;;;SAN GIOVANNI INCARICO;1.633;1.777;3.410
0;3120336020;LAZIO;FROSINONE;CINQUE CITTA';1-Gen-1999;5;;16.988;17.755;34.743
1;;;;;;;AQUINO;2.603;2.706;5.309
2;;;;;;;PIEDIMONTE SAN GERMANO;2.975;3.061;6.036
3;;;;;;;PONTECORVO;6.389;6.834;13.223
4;;;;;;;ROCCASECCA;3.714;3.822;7.536
5;;;;;;;VILLA SANTA LUCIA;1.307;1.332;2.639
0;3120336090;LAZIO;FROSINONE;CIVITAS EUROPAE;1-Gen-2003;4;;8.503;9.069;17.572
1;;;;;;;ARCE;2.805;2.978;5.783
2;;;;;;;ARPINO;3.546;3.840;7.386
3;;;;;;;FONTANA LIRI;1.443;1.550;2.993
4;;;;;;;SANTOPADRE;709;701;1.410
0;3120336080;LAZIO;FROSINONE;COMINIUM;1-Gen-2002;6;;4.313;4.568;8.881
1;;;;;;;ATINA;2.125;2.336;4.461
2;;;;;;;BELMONTE CASTELLO;406;372;778
3;;;;;;;CASALATTICO;310;331;641
4;;;;;;;PICINISCO;613;642;1.255
5;;;;;;;TERELLE;226;234;460
6;;;;;;;VILLA LATINA;633;653;1.286
0;3120336040;LAZIO;FROSINONE;DEGLI ERNICI;1-Gen-2001;7;;5.727;5.852;11.579
1;;;;;;;FILETTINO;287;264;551
2;;;;;;;FUMONE;1.068;1.112;2.180
3;;;;;;;GUARCINO;808;850;1.658
4;;;;;;;TORRE CAJETANI;695;693;1.388
5;;;;;;;TREVI NEL LAZIO;922;931;1.853
6;;;;;;;TRIVIGLIANO;838;855;1.693
7;;;;;;;VICO NEL LAZIO;1.109;1.147;2.256
0;3120336100;LAZIO;FROSINONE;DEL LACERNO E DEL FIBRENO;1-Gen-2005;5;;4.261;4.382;8.643
1;;;;;;;BROCCOSTELLA;1.390;1.417;2.807
2;;;;;;;CAMPOLI APPENNINO;879;870;1.749
3;;;;;;;FONTECHIARI;642;676;1.318
4;;;;;;;PESCOSOLIDO;757;795;1.552
5;;;;;;;POSTA FIBRENO;593;624;1.217
0;3120336050;LAZIO;FROSINONE;MUNICIPI D'EUROPA;1-Gen-2002;3;;3.210;3.356;6.566
1;;;;;;;CASTROCIELO;1.900;2.069;3.969
2;;;;;;;COLFELICE;942;911;1.853
3;;;;;;;COLLE SAN MAGNO;368;376;744
0;3120336070;LAZIO;FROSINONE;PAESI DELLA CIOCIARIA;1-Gen-2002;5;;9.347;9.790;19.137
1;;;;;;;ARNARA;1.129;1.250;2.379
2;;;;;;;POFI;2.129;2.174;4.303
3;;;;;;;RIPI;2.608;2.738;5.346
4;;;;;;;STRANGOLAGALLI;1.225;1.276;2.501
5;;;;;;;TORRICE;2.256;2.352;4.608
0;3120336110;LAZIO;FROSINONE;UNIONE DEI COMUNI DELLE MAINARDE;1-Gen-2005;4;;8.379;8.643;17.022
1;;;;;;;CERVARO;3.776;3.968;7.744
2;;;;;;;SAN VITTORE DEL LAZIO;1.330;1.349;2.679
