NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
0;4170646020;BASILICATA;POTENZA;UNIONE LUCANA DEL LAGONEGRESE;7-Mag-2015;9;;18.675;19.926;38.601
1;;;;;;;CASTELLUCCIO INFERIORE;1.046;1.133;2.179
2;;;;;;;CASTELLUCCIO SUPERIORE;410;450;860
3;;;;;;;LAGONEGRO;2.741;2.984;5.725
4;;;;;;;LATRONICO;2.298;2.450;4.748
5;;;;;;;LAURIA;6.474;6.788;13.262
6;;;;;;;MARATEA;2.496;2.654;5.150
7;;;;;;;NEMOLI;728;784;1.512
8;;;;;;;RIVELLO;1.372;1.471;2.843
9;;;;;;;TRECCHINA;1.110;1.212;2.322
0;4180226040;CALABRIA;CATANZARO;MONTE CONTESSA;1-Gen-2014;5;;8.908;9.395;18.303
1;;;;;;;CORTALE;1.040;1.177;2.217
2;;;;;;;CURINGA;3.279;3.429;6.708
3;;;;;;;JACURSO;270;353;623
4;;;;;;;MAIDA;2.166;2.291;4.457
5;;;;;;;SAN PIETRO A MAIDA;2.153;2.145;4.298
0;4180226050;CALABRIA;CATANZARO;MONTI MA.RE. DA TEMESA A TERINA;11-Dic-2014;7;;8.980;9.182;18.162
1;;;;;;;CONFLENTI;691;746;1.437
2;;;;;;;FALERNA;1.855;1.946;3.801
3;;;;;;;GIZZERIA;2.335;2.187;4.522
4;;;;;;;MARTIRANO LOMBARDO;574;593;1.167
5;;;;;;;MOTTA SANTA LUCIA;432;439;871
6;;;;;;;NOCERA TERINESE;2.290;2.435;4.725
7;;;;;;;SAN MANGO D'AQUINO;803;836;1.639
0;4180226010;CALABRIA;CATANZARO;PRE SILA CATANZARESE;1-Gen-2002;3;;3.051;3.199;6.250
1;;;;;;;FOSSATO SERRALTA;313;301;614
2;;;;;;;GIMIGLIANO;1.666;1.755;3.421
3;;;;;;;PENTONE;1.072;1.143;2.215
0;4180226030;CALABRIA;CATANZARO;UNIONE DEI COMUNI DEL VERSANTE IONICO;1-Gen-2009;9;;12.462;13.355;25.817
1;;;;;;;BADOLATO;1.518;1.665;3.183
2;;;;;;;CARDINALE;1.116;1.218;2.334
3;;;;;;;DAVOLI;2.652;2.755;5.407
4;;;;;;;GUARDAVALLE;2.308;2.444;4.752
5;;;;;;;ISCA SULLO IONIO;780;834;1.614
6;;;;;;;SAN SOSTENE;617;694;1.311
7;;;;;;;SAN VITO SULLO IONIO;856;974;1.830
8;;;;;;;SANT'ANDREA APOSTOLO DELLO IONIO;1.002;1.070;2.072
9;;;;;;;SATRIANO;1.613;1.701;3.314
0;4180226060;CALABRIA;CATANZARO;UNIONE DEI COMUNI DELL'ISTMO;6-Apr-2016;3;;1.847;2.042;3.889
1;;;;;;;AMATO;392;445;837
2;;;;;;;MARCELLINARA;1.091;1.162;2.253
3;;;;;;;MIGLIERINA;364;435;799
0;4180256060;CALABRIA;COSENZA;ARBERIA;1-Gen-2005;5;;4.748;5.033;9.781
1;;;;;;;SAN COSMO ALBANESE;295;334;629
2;;;;;;;SAN DEMETRIO CORONE;1.769;1.896;3.665
3;;;;;;;SAN GIORGIO ALBANESE;746;809;1.555
4;;;;;;;SANTA SOFIA D'EPIRO;1.356;1.392;2.748
5;;;;;;;VACCARIZZO ALBANESE;582;602;1.184
0;4180256070;CALABRIA;COSENZA;BRETTIA UNIONE DEI COMUNI MONTI, MARE E TERME;1-Gen-2005;2;;5.951;6.219;12.170
1;;;;;;;ACQUAPPESA;925;985;1.910
2;;;;;;;CETRARO;5.026;5.234;10.260
0;4180256010;CALABRIA;COSENZA;PANDOSIA;1-Gen-1999;3;;8.150;8.410;16.560
1;;;;;;;CASTROLIBERO;4.895;5.072;9.967
2;;;;;;;MARANO MARCHESATO;1.710;1.764;3.474
3;;;;;;;MARANO PRINCIPATO;1.545;1.574;3.119
0;4180256020;CALABRIA;COSENZA;SOLEO;1-Gen-2003;4;;7.389;7.970;15.359
1;;;;;;;BELVEDERE MARITTIMO;4.341;4.779;9.120
2;;;;;;;BONIFATI;1.392;1.520;2.912
3;;;;;;;SANGINETO;672;665;1.337
4;;;;;;;SANT'AGATA DI ESARO;984;1.006;1.990
0;4180256050;CALABRIA;COSENZA;UNIONE DEI CASALI;1-Gen-2004;4;;2.355;2.490;4.845
1;;;;;;;CELLARA;246;265;511
2;;;;;;;FIGLINE VEGLIATURO;525;572;1.097
3;;;;;;;MANGONE;898;925;1.823
4;;;;;;;PIANE CRATI;686;728;1.414
0;4180256090;CALABRIA;COSENZA;UNIONE DEI COMUNI DELL'ALTO IONIO - LA VIA DEL MARE;1-Gen-2009;5;;10.854;11.342;22.196
1;;;;;;;AMENDOLARA;1.480;1.521;3.001
2;;;;;;;MONTEGIORDANO;962;1.026;1.988
3;;;;;;;ROCCA IMPERIALE;1.628;1.664;3.292
4;;;;;;;TREBISACCE;4.231;4.503;8.734
5;;;;;;;VILLAPIANA;2.553;2.628;5.181
0;4180256040;CALABRIA;COSENZA;UNIONE TERRE DEL SAVUTO;1-Gen-2004;7;;6.556;6.577;13.133
1;;;;;;;ALTILIA;396;341;737
2;;;;;;;BELSITO;472;486;958
3;;;;;;;GRIMALDI;851;888;1.739
4;;;;;;;MARZI;494;502;996
5;;;;;;;PATERNO CALABRO;708;658;1.366
6;;;;;;;ROGLIANO;2.806;2.891;5.697
7;;;;;;;SANTO STEFANO DI ROGLIANO;829;811;1.640
0;4180676010;CALABRIA;REGGIO CALABRIA;UNIONE DEI COMUNI DELLA VALLE DEL TORBIDO;7-Dic-2014;6;;10.193;10.672;20.865
1;;;;;;;GIOIOSA IONICA;3.431;3.583;7.014
2;;;;;;;GROTTERIA;1.612;1.662;3.274
3;;;;;;;MAMMOLA;1.413;1.558;2.971
4;;;;;;;MARINA DI GIOIOSA IONICA;3.213;3.302;6.515
5;;;;;;;MARTONE;274;280;554
6;;;;;;;SAN GIOVANNI DI GERACE;250;287;537
0;4150086010;CAMPANIA;AVELLINO;ANTICO CLANIS;1-Gen-2004;3;;3.471;3.668;7.139
1;;;;;;;LAURO;1.747;1.861;3.608
2;;;;;;;MARZANO DI NOLA;839;841;1.680
3;;;;;;;PAGO DEL VALLO DI LAURO;885;966;1.851
0;4150086050;CAMPANIA;AVELLINO;TERRE DELL'UFITA;18-Ott-2011;9;;15.460;16.129;31.589
1;;;;;;;BONITO;1.243;1.283;2.526
2;;;;;;;FLUMERI;1.487;1.558;3.045
3;;;;;;;FONTANAROSA;1.585;1.716;3.301
4;;;;;;;FRIGENTO;1.951;2.014;3.965
5;;;;;;;GESUALDO;1.773;1.830;3.603
6;;;;;;;GROTTAMINARDA;4.062;4.235;8.297
7;;;;;;;MELITO IRPINO;969;967;1.936
8;;;;;;;STURNO;1.524;1.615;3.139
9;;;;;;;VILLANOVA DEL BATTISTA;866;911;1.777
0;4150086060;CAMPANIA;AVELLINO;UNIONE DEI COMUNI DEL BAIANESE ALTO CLANIS;9-Lug-2016;6;;12.942;13.314;26.256
1;;;;;;;AVELLA;3.823;3.965;7.788
2;;;;;;;BAIANO;2.318;2.412;4.730
3;;;;;;;MUGNANO DEL CARDINALE;2.653;2.659;5.312
4;;;;;;;QUADRELLE;936;957;1.893
5;;;;;;;SIRIGNANO;1.444;1.434;2.878
6;;;;;;;SPERONE;1.768;1.887;3.655
0;4150086020;CAMPANIA;AVELLINO;UNIONE DEI COMUNI MEDIO CALORE;1-Gen-2009;3;;2.992;3.275;6.267
1;;;;;;;PIETRADEFUSI;1.120;1.255;2.375
2;;;;;;;TORRE LE NOCELLE;660;700;1.360
3;;;;;;;VENTICANO;1.212;1.320;2.532
0;4150116010;CAMPANIA;BENEVENTO;SANTI SANNITI;1-Gen-2002;3;;5.794;6.206;12.000
1;;;;;;;SAN GIORGIO DEL SANNIO;4.694;5.115;9.809
2;;;;;;;SAN MARTINO SANNITA;632;645;1.277
3;;;;;;;SAN NAZZARO;468;446;914
0;4150206020;CAMPANIA;CASERTA;AREA CASERTA SUD OVEST;1-Gen-2002;10;;73.793;76.245;150.038
1;;;;;;;CANCELLO ED ARNONE;2.688;2.740;5.428
2;;;;;;;CAPODRISE;4.838;4.935;9.773
3;;;;;;;CASTEL VOLTURNO;11.441;11.441;22.882
4;;;;;;;CELLOLE;3.705;3.979;7.684
5;;;;;;;FRANCOLISE;2.417;2.504;4.921
6;;;;;;;GRAZZANISE;3.514;3.571;7.085
7;;;;;;;MARCIANISE;19.746;20.551;40.297
8;;;;;;;MONDRAGONE;13.272;13.798;27.070
9;;;;;;;SANTA MARIA LA FOSSA;1.295;1.387;2.682
10;;;;;;;SESSA AURUNCA;10.877;11.339;22.216
0;4150206010;CAMPANIA;CASERTA;ATELLA;1-Gen-2002;6;;40.667;41.116;81.783
1;;;;;;;CESA;4.207;4.289;8.496
2;;;;;;;FRATTAMINORE;7.755;7.953;15.708
3;;;;;;;GRICIGNANO DI AVERSA;5.240;5.319;10.559
4;;;;;;;ORTA DI ATELLA;12.445;12.351;24.796
5;;;;;;;SANT'ARPINO;6.985;7.091;14.076
6;;;;;;;SUCCIVO;4.035;4.113;8.148
0;4150206040;CAMPANIA;CASERTA;MONTI TREBULANI;1-Gen-2003;3;;2.096;2.323;4.419
1;;;;;;;FORMICOLA;692;812;1.504
2;;;;;;;LIBERI;539;618;1.157
3;;;;;;;PONTELATONE;865;893;1.758
0;4150206070;CAMPANIA;CASERTA;TERRA DI LAVORO;1-Gen-2009;4;;29.919;32.389;62.308
1;;;;;;;BELLONA;2.814;2.891;5.705
2;;;;;;;CAPUA;9.106;9.930;19.036
3;;;;;;;SAN TAMMARO;2.562;2.502;5.064
4;;;;;;;SANTA MARIA CAPUA VETERE;15.437;17.066;32.503
0;4150206060;CAMPANIA;CASERTA;UNIONE DEI COMUNI AGRO UNITO;1-Gen-2006;3;;13.652;13.790;27.442
1;;;;;;;FRIGNANO;4.334;4.399;8.733
2;;;;;;;SAN MARCELLINO;6.286;6.357;12.643
3;;;;;;;VILLA DI BRIANO;3.032;3.034;6.066
0;4150516020;CAMPANIA;NAPOLI;UNIONE DEI COMUNI DI TRECASE - BOSCOREALE - BOSCOTRECASE;1-Gen-2005;3;;22.934;24.057;46.991
1;;;;;;;BOSCOREALE;13.407;14.050;27.457
2;;;;;;;BOSCOTRECASE;5.026;5.390;10.416
3;;;;;;;TRECASE;4.501;4.617;9.118
0;4150726020;CAMPANIA;SALERNO;ALTO CALORE;1-Gen-2003;6;;3.316;3.620;6.936
1;;;;;;;CAMPORA;224;237;461
2;;;;;;;CASTEL SAN LORENZO;1.253;1.379;2.632
